velocity_ms,range_m,elevation_mil,drift_mil
659,13600.0,1171.2,87.1
380,9300.0,593.9,15.5
659,6000.0,96.8,3.0
659,6400.0,106.1,3.3
659,12400.0,316.1,10.3
320,2700.0,146.0,2.7
247,3200.0,302.3,6.3
544,2300.0,44.6,1.2
380,6400.0,1232.1,88.4
659,17000.0,982.2,49.7
286,1400.0,88.9,1.7
544,11200.0,1153.0,75.5
380,9200.0,987.5,39.5
544,2400.0,46.9,1.3
320,5200.0,1232.0,81.8
247,1400.0,119.5,2.3
346,1600.0,72.6,1.4
453,2200.0,62.2,1.5
346,6700.0,1161.4,63.8
286,6200.0,1007.9,38.5
544,8400.0,251.4,7.1
247,2100.0,185.2,3.7
453,6500.0,1285.0,141.2
659,14900.0,455.0,15.4
544,7900.0,228.3,6.4
380,9100.0,1001.3,40.9
659,16300.0,1036.4,57.0
453,8500.0,1189.4,78.6
544,14200.0,905.9,38.4
320,1100.0,56.0,1.0
659,1400.0,17.3,0.5
453,9200.0,415.1,10.6
380,6500.0,1225.9,85.7
659,11300.0,266.2,8.6
380,4300.0,192.5,4.0
544,9200.0,291.0,8.3
453,11600.0,674.5,20.4
320,5800.0,366.5,7.6
247,2200.0,195.1,3.9
380,2800.0,115.6,2.4
659,16400.0,566.6,20.0
320,7000.0,490.2,10.9
544,14100.0,922.9,39.9
346,6600.0,1169.7,65.7
544,5300.0,126.6,3.5
346,4400.0,227.1,4.5
544,1700.0,31.8,0.8
286,4400.0,1226.8,80.4
544,9900.0,1213.8,97.2
659,13300.0,1182.6,91.3
286,1000.0,62.7,1.2
346,3100.0,150.7,2.9
380,3500.0,150.2,3.1
286,4000.0,285.6,5.8
659,8300.0,157.0,4.9
659,11900.0,1229.9,116.9
659,13700.0,383.1,12.7
544,9400.0,301.4,8.6
659,13500.0,372.2,12.3
