velocity_ms,range_m,elevation_deg,drift_deg
247,100.0,0.46982539599999995,0.011459156
247,200.0,0.9396507919999999,0.017188733999999997
247,300.0,1.409476188,0.02864789
247,400.0,1.8850311619999998,0.034377467999999994
247,500.0,2.3663157139999997,0.045836624
247,600.0,2.847600266,0.05729578
247,700.0,3.334614396,0.063025358
247,800.0,3.821628526,0.074484514
247,900.0,4.3143722339999995,0.08594367
247,1000.0,4.81284552,0.091673248
247,1100.0,5.317048384,0.103132404
247,1200.0,5.821251247999999,0.11459156
247,1300.0,6.33118369,0.126050716
247,1400.0,6.846845709999999,0.131780294
247,1500.0,7.368237307999999,0.14323945
247,1600.0,7.895358484,0.15469860600000002
247,1700.0,8.42247966,0.166157762
247,1800.0,8.961059992,0.17761691799999998
247,1900.0,9.505369902,0.18907607399999998
247,2000.0,10.05540939,0.20053522999999998
247,2100.0,10.611178456,0.211994386
247,2200.0,11.178406678,0.22345354199999998
247,2300.0,11.745634899999999,0.23491269799999998
247,2400.0,12.330051855999999,0.24637185399999997
247,2500.0,12.914468811999999,0.25783100999999997
247,2600.0,13.510344924,0.27501974399999995
247,2700.0,14.117680192,0.2864789
247,2800.0,14.736474615999999,0.297938056
247,2900.0,15.360998618,0.31512679
247,2900.0,73.28703219799999,7.259375326
247,3000.0,16.002711354,0.326585946
247,3000.0,72.759911022,6.583285122
247,3100.0,16.655883246,0.34377468
247,3100.0,72.19841237799999,6.021786477999999
247,3200.0,17.320514294,0.360963414
247,3200.0,71.619725,5.551961082
247,3300.0,17.996604498,0.37242257
247,3300.0,71.00666015399999,5.150890622
247,3400.0,18.689883436,0.389611304
247,3400.0,70.370676996,4.81284552
247,3500.0,19.400351108,0.406800038
247,3500.0,69.711775526,4.509177886
247,3600.0,20.133737091999997,0.423988772
247,3600.0,69.02995574399999,4.245617297999999
247,3700.0,20.878582232,0.441177506
247,3700.0,68.319488072,4.0107045999999995
247,3800.0,21.652075261999997,0.46409581799999994
247,3800.0,67.58037251,3.792980636
247,3900.0,22.448486604,0.481284552
247,3900.0,66.81260905799999,3.5981749839999995
247,4000.0,23.267816258,0.504202864
247,4000.0,66.016197716,3.414828488
247,4100.0,24.12152338,0.527121176
247,4100.0,65.185408906,3.248670726
247,4200.0,25.003878391999997,0.5500394879999999
247,4200.0,64.32024262799999,3.0882425419999997
247,4300.0,25.932070028000002,0.5729578
247,4300.0,63.409239726,2.933543936
247,4400.0,26.90036871,0.60160569
247,4400.0,62.45812977799999,2.790304486
247,4500.0,27.920233594,0.63025358
247,4500.0,61.44972405,2.647065036
247,4600.0,29.003123835999997,0.664631048
247,4600.0,60.378292963999996,2.5095551639999996
247,4700.0,30.16622817,0.6990085159999999
247,4700.0,59.226647786,2.3720452919999997
247,4800.0,31.421005751999996,0.739115562
247,4800.0,57.977599782,2.240264998
247,4900.0,32.807563628,0.7849521859999999
247,4900.0,56.602501061999995,2.102755126
247,5000.0,34.371738422,0.8365183879999999
247,5000.0,55.04978542399999,1.9652452539999998
247,5100.0,36.21093296,0.905273324
247,5100.0,53.21632046399999,1.8162762259999998
247,5200.0,38.565789518,0.9969465719999999
247,5200.0,50.867193484,1.644388886
247,5300.0,42.862973018,1.1860226459999998
247,5300.0,46.575739561999995,1.37509872
286,100.0,0.35523383599999997,0.005729578
286,200.0,0.704738094,0.011459156
286,300.0,1.054242352,0.017188733999999997
286,400.0,1.409476188,0.02864789
286,500.0,1.770439602,0.034377467999999994
286,600.0,2.131403016,0.04010704599999999
286,700.0,2.4923664299999997,0.045836624
286,800.0,2.8533298439999997,0.051566202
286,900.0,3.220022836,0.05729578
286,1000.0,3.592445406,0.06875493599999999
286,1100.0,3.964867976,0.074484514
286,1200.0,4.337290546,0.08021409199999999
286,1300.0,4.715442694,0.08594367
286,1400.0,5.093594842,0.097402826
286,1500.0,5.477476567999999,0.103132404
286,1600.0,5.867087872,0.108861982
286,1700.0,6.250969597999999,0.120321138
286,1800.0,6.6463104799999995,0.126050716
286,1900.0,7.041651362,0.131780294
286,2000.0,7.442721822,0.14323945
286,2100.0,7.843792282,0.148969028
286,2200.0,8.250592319999999,0.16042818399999997
286,2300.0,8.657392358,0.166157762
286,2400.0,9.069921974,0.17761691799999998
286,2500.0,9.488181167999999,0.183346496
286,2600.0,9.91216994,0.194805652
286,2700.0,10.336158712,0.20053522999999998
286,2800.0,10.765877062,0.211994386
286,2900.0,11.20132499,0.217723964
286,3000.0,11.642502495999999,0.22918312
286,3100.0,12.08940958,0.23491269799999998
286,3200.0,12.536316664000001,0.24637185399999997
286,3300.0,12.994682904,0.25783100999999997
286,3400.0,13.453049144,0.269290166
286,3500.0,13.922874539999999,0.27501974399999995
286,3600.0,14.398429514,0.2864789
286,3600.0,73.923015356,7.459910555999999
286,3700.0,14.879714065999998,0.297938056
286,3700.0,73.527674474,6.915600646
286,3800.0,15.366728195999999,0.30939721200000003
286,3800.0,73.10941528,6.440045672
286,3900.0,15.859471904,0.32085636799999995
286,3900.0,72.67969692999999,6.033245633999999
286,4000.0,16.363674768,0.332315524
286,4000.0,72.232789846,5.678011797999999
286,4100.0,16.87360721,0.34377468
286,4100.0,71.768694028,5.362885007999999
286,4200.0,17.394998808,0.35523383599999997
286,4200.0,71.293139054,5.082135686
286,4300.0,17.927849562,0.366692992
286,4300.0,70.800395346,4.8357638320000005
286,4400.0,18.466429894,0.37815214799999997
286,4400.0,70.290462904,4.606580712
286,4500.0,19.016469381999997,0.389611304
286,4500.0,69.769071306,4.400315903999999
286,4600.0,19.572238448,0.406800038
