,,,,
,Charge,Range (M),Elevation (MIL),Drift (MIL)
,7W,4800,"110,5",3
,7W,4900,"113,6","3,1"
,7W,5000,"116,8","3,2"
,7W,5100,120,"3,3"
,7W,5200,"123,3","3,4"
,7W,5300,"126,6","3,5"
,7W,5400,"129,9","3,6"
,7W,5500,"133,3","3,7"
,7W,5600,"136,7","3,8"
,7W,5700,"140,2","3,9"
,7W,5800,"143,8",4
,7W,5900,"147,3","4,1"
,7W,6000,"150,9","4,2"
,7W,6100,"154,6","4,3"
,7W,6200,"158,3","4,4"
,7W,6300,"162,1","4,5"
,7W,6400,"165,9","4,6"
,7W,6500,"169,7","4,7"
,7W,6600,"173,6","4,8"
,7W,6700,"177,5",5
,7W,6800,"181,5","5,1"
,7W,6900,"185,5","5,2"
,7W,7000,"189,6","5,3"
,7W,7100,"193,7","5,4"
,7W,7200,"197,9","5,5"
,7W,7300,"202,1","5,7"
,7W,7400,"206,3","5,8"
,7W,7500,"210,6","5,9"
,7W,7600,215,6
,7W,7700,"219,4","6,2"
,7W,7800,"223,8","6,3"
,7W,7900,"228,3","6,4"
,7W,8000,"232,8","6,5"
,7W,8100,"237,4","6,7"
,7W,8200,242,"6,8"
,7W,8300,"246,7",7
,7W,8400,"251,4","7,1"
,7W,8500,"256,2","7,2"
,7W,8600,261,"7,4"
,7W,8700,"265,9","7,5"
,7W,8800,"270,8","7,7"
,7W,8900,"275,8","7,8"
,7W,9000,"280,8",8
,7W,9100,"285,8","8,1"
,7W,9200,291,"8,3"
,7W,9300,"296,1","8,4"
,7W,9400,"301,4","8,6"
,7W,9500,"306,6","8,8"
,7W,9600,312,"8,9"
,7W,9700,"317,4","9,1"
,7W,9800,"322,8","9,3"
,7W,9900,"328,3","9,4"
,7W,10000,"333,9","9,6"
,7W,10100,"339,5","9,8"
,7W,10200,"345,2",10
,7W,10300,351,"10,1"
,7W,10400,"356,8","10,3"
,7W,10500,"362,7","10,5"
,7W,10600,"368,6","10,7"
,7W,10700,"374,7","10,9"
,7W,10800,"380,8","11,1"
,7W,10900,"386,9","11,3"
,7W,11000,"393,2","11,5"
,7W,11100,"399,5","11,7"
,7W,11200,"405,9","11,9"
,7W,11300,"412,5","12,2"
,7W,11400,419,"12,4"
,7W,11500,"425,7","12,6"
,7W,11600,"432,5","12,9"
,7W,11700,"439,4","13,1"
,7W,11800,"446,4","13,3"
,7W,11900,"453,5","13,6"
,7W,12000,"460,8","13,9"
,7W,12100,"468,1","14,1"
,7W,12200,"475,6","14,4"
,7W,12300,"483,3","14,7"
,7W,12400,"491,1",15
,7W,12500,"499,1","15,3"
,7W,12600,"507,2","15,6"
,7W,12700,"515,6","15,9"
,7W,12800,"524,2","16,2"
,7W,12900,533,"16,6"
,7W,13000,542,"16,9"
,7W,13100,"551,3","17,3"
,7W,13200,561,"17,7"
,7W,13300,571,"18,1"
,7W,13400,"581,3","18,6"
,7W,13500,"592,1","19,1"
,7W,13600,"603,5","19,6"
,7W,13700,"615,4","20,1"
,7W,13800,628,"20,7"
,7W,13900,"641,6","21,4"
,7W,14000,"656,2","22,1"
,7W,14100,"672,4","22,9"
,7W,14200,"690,7","23,8"
,7W,14300,"712,3",25
,7W,14400,"740,7","26,6"
,7W,14400,"857,9","34,4"
,7W,14300,"885,4","36,6"
,7W,14200,"905,9","38,4"
,7W,14100,"922,9","39,9"
,7W,14000,"937,8","41,4"
,7W,13900,"951,2","42,7"
,7W,13800,"963,5",44
,7W,13700,"974,9","45,3"
,7W,13600,"985,6","46,5"
,7W,13500,"995,6","47,7"
,7W,13400,"1005,2","48,9"
,7W,13300,"1014,3",50
,7W,13200,1023,"51,2"
,7W,13100,"1031,4","52,3"
,7W,13000,"1039,5","53,5"
,7W,12900,"1047,2","54,6"
,7W,12800,"1054,8","55,8"
,7W,12700,"1062,1","56,9"
,7W,12600,"1069,2","58,1"
,7W,12500,"1076,1","59,2"
,7W,12400,"1082,8","60,4"
,7W,12300,"1089,4","61,6"
,7W,12200,"1095,8","62,8"
,7W,12100,"1102,1",64
,7W,12000,"1108,2","65,2"
,7W,11900,"1114,2","66,4"
,7W,11800,"1120,1","67,6"
,7W,11700,"1125,8","68,9"
,7W,11600,"1131,5","70,2"
,7W,11500,1137,"71,5"
,7W,11400,"1142,4","72,8"
,7W,11300,"1147,7","74,2"
,7W,11200,1153,"75,5"
,7W,11100,"1158,1",77
,7W,11000,"1163,2","78,4"
,7W,10900,"1168,2","79,9"
,7W,10800,"1173,1","81,4"
,7W,10700,"1177,9","82,9"
,7W,10600,"1182,6","84,5"
,7W,10500,"1187,3","86,2"
,7W,10400,"1191,9","87,9"
,7W,10300,"1196,4","89,6"
,7W,10200,"1200,9","91,4"
,7W,10100,"1205,3","93,3"
,7W,10000,"1209,6","95,2"
,7W,9900,"1213,8","97,2"
,7W,9800,1218,"99,2"
,7W,9700,"1222,1","101,4"
,7W,9600,"1226,2","103,6"
,7W,9500,"1230,2","105,9"
,7W,9400,"1234,1","108,3"
,7W,9300,1238,"110,9"
,7W,9200,"1241,8","113,5"
,7W,9100,"1245,5","116,3"
,7W,9000,"1249,2","119,3"
,7W,8900,"1252,8","122,4"
,7W,8800,"1256,4","125,7"
,7W,8700,"1259,9","129,1"
,7W,8600,"1263,3","132,8"
,7W,8500,"1266,6","136,8"
,7W,8400,"1269,9",141
,7W,8300,"1273,1","145,4"
,7W,8200,"1276,2","150,2"
,7W,8100,"1279,3","155,3"
,7W,8000,"1282,3","160,7"
,7R,0,0,0
,7R,100,"1,2",0
,7R,200,"2,4","0,1"
,7R,300,"3,5","0,1"
,7R,400,"4,7","0,1"
,7R,500,"5,9","0,2"
,7R,600,"7,1","0,2"
,7R,700,"8,3","0,2"
,7R,800,"9,6","0,3"
,7R,900,"10,8","0,3"
,7R,1000,"12,1","0,3"
,7R,1100,"13,4","0,4"
,7R,1200,"14,7","0,4"
,7R,1300,16,"0,5"
,7R,1400,"17,3","0,5"
,7R,1500,"18,6","0,5"
,7R,1600,"19,9","0,6"
,7R,1700,"21,3","0,6"
,7R,1800,"22,7","0,7"
,7R,1900,"24,1","0,7"
,7R,2000,"25,5","0,7"
,7R,2100,"26,9","0,8"
,7R,2200,"28,3","0,8"
,7R,2300,"29,8","0,9"
,7R,2400,"31,2","0,9"
,7R,2500,"32,7",1
,7R,2600,"34,2",1
,7R,2700,"35,7",1
,7R,2800,"37,2","1,1"
,7R,2900,"38,8","1,1"
,7R,3000,"40,3","1,2"
,7R,3100,"41,9","1,2"
,7R,3200,"43,5","1,3"
,7R,3300,"45,1","1,3"
,7R,3400,"46,8","1,4"
,7R,3500,"48,4","1,4"
,7R,3600,"50,1","1,5"
,7R,3700,"51,8","1,5"
,7R,3800,"53,5","1,6"
,7R,3900,"55,2","1,6"
,7R,4000,57,"1,7"
,7R,4100,"58,8","1,8"
,7R,4200,"60,6","1,8"
,7R,4300,"62,4","1,9"
,7R,4400,"64,2","1,9"
,7R,4500,"66,1",2
,7R,4600,68,2
,7R,4700,"69,9","2,1"
,7R,4800,"71,8","2,2"
,7R,4900,"73,7","2,2"
,7R,5000,"75,7","2,3"
,7R,5100,"77,7","2,3"
,7R,5200,"79,7","2,4"
,7R,5300,"81,8","2,5"
,7R,5400,"83,9","2,5"
,7R,5500,"85,9","2,6"
,7R,5600,"88,1","2,7"
,7R,5700,"90,2","2,7"
,7R,5800,"92,4","2,8"
,7R,5900,"94,6","2,9"
,7R,6000,"96,8",3
,7R,6100,"99,1",3
,7R,6200,"101,4","3,1"
,7R,6300,"103,7","3,2"
,7R,6400,"106,1","3,3"
,7R,6500,"108,4","3,3"
,7R,6600,"110,8","3,4"
,7R,6700,"113,3","3,5"
,7R,6800,"115,8","3,6"
,7R,6900,"118,3","3,6"
,7R,7000,"120,8","3,7"
,7R,7100,"123,4","3,8"
,7R,7200,126,"3,9"
,7R,7300,"128,6",4
,7R,7400,"131,3","4,1"
,7R,7500,134,"4,2"
,7R,7600,"136,7","4,3"
,7R,7700,"139,5","4,3"
,7R,7800,"142,3","4,4"
,7R,7900,"145,2","4,5"
,7R,8000,"148,1","4,6"
,7R,8100,151,"4,7"
,7R,8200,154,"4,8"
,7R,8300,157,"4,9"
,7R,8400,"160,1",5
,7R,8500,"163,1","5,1"
,7R,8600,"166,3","5,2"
,7R,8700,"169,4","5,3"
,7R,8800,"172,6","5,4"
,7R,8900,"175,9","5,5"
,7R,9000,"179,2","5,7"
,7R,9100,"182,5","5,8"
,7R,9200,"185,9","5,9"
,7R,9300,"189,3",6
,7R,9400,"192,7","6,1"
,7R,9500,"196,2","6,2"
,7R,9600,"199,7","6,3"
,7R,9700,"203,3","6,5"
,7R,9800,"206,9","6,6"
,7R,9900,"210,6","6,7"
,7R,10000,"214,3","6,8"
,7R,10100,218,7
,7R,10200,"221,8","7,1"
,7R,10300,"225,6","7,2"
,7R,10400,"229,5","7,3"
,7R,10500,"233,4","7,5"
,7R,10600,"237,3","7,6"
,7R,10700,"241,3","7,7"
,7R,10800,"245,4","7,9"
,7R,10900,"249,4",8
,7R,11000,"253,6","8,1"
,7R,11100,"257,7","8,3"
,7R,11200,"261,9","8,4"
,7R,11300,"266,2","8,6"
,7R,11400,"270,5","8,7"
,7R,11500,"274,8","8,9"
,7R,11600,"279,2",9
,7R,11700,"283,7","9,2"
,7R,11800,"288,2","9,3"
,7R,11900,"292,7","9,5"
,7R,12000,"297,3","9,6"
,7R,12100,"301,9","9,8"
,7R,12200,"306,6","9,9"
,7R,12300,"311,3","10,1"
,7R,12400,"316,1","10,3"
,7R,12500,"320,9","10,4"
,7R,12600,"325,8","10,6"
,7R,12700,"330,7","10,8"
,7R,12800,"335,7",11
,7R,12900,"340,7","11,1"
,7R,13000,"345,8","11,3"
,7R,13100,351,"11,5"
,7R,13200,"356,2","11,7"
,7R,13300,"361,5","11,9"
,7R,13400,"366,8","12,1"
,7R,13500,"372,2","12,3"
,7R,13600,"377,6","12,5"
,7R,13700,"383,1","12,7"
,7R,13800,"388,7","12,9"
,7R,13900,"394,4","13,1"
,7R,14000,"400,1","13,3"
,7R,14100,"405,9","13,5"
,7R,14200,"411,7","13,7"
,7R,14300,"417,6","13,9"
,7R,14400,"423,7","14,2"
,7R,14500,"429,7","14,4"
,7R,14600,"435,9","14,6"
,7R,14700,"442,2","14,9"
,7R,14800,"448,5","15,1"
,7R,14900,455,"15,4"
,7R,15000,"461,5","15,6"
,7R,15100,"468,2","15,9"
,7R,15200,"474,9","16,2"
,7R,15300,"481,8","16,4"
,7R,15400,"488,7","16,7"
,7R,15500,"495,8",17
,7R,15600,503,"17,3"
,7R,15700,"510,4","17,6"
,7R,15800,"517,9","17,9"
,7R,15900,"525,6","18,2"
,7R,16000,"533,4","18,6"
,7R,16100,"541,4","18,9"
,7R,16200,"549,6","19,2"
,7R,16300,"557,9","19,6"
,7R,16400,"566,6",20
,7R,16500,"575,4","20,4"
,7R,16600,"584,6","20,8"
,7R,16700,"594,1","21,2"
,7R,16800,"603,9","21,7"
,7R,16900,"614,2","22,2"
,7R,17000,"624,9","22,7"
,7R,17100,"636,1","23,3"
,7R,17200,648,"23,9"
,7R,17300,"660,6","24,5"
,7R,17400,"674,3","25,2"
,7R,17500,"689,4","26,1"
,7R,17600,"706,5",27
,7R,17700,"726,7","28,2"
,7R,17800,"752,8","29,8"
,7R,17800,"870,6","38,5"
,7R,17700,"894,6","40,6"
,7R,17600,"912,4","42,2"
,7R,17500,"927,3","43,7"
,7R,17400,"940,3",45
,7R,17300,"952,1","46,3"
,7R,17200,"962,9","47,5"
,7R,17100,"972,9","48,6"
,7R,17000,"982,2","49,7"
,7R,16900,"991,1","50,8"
,7R,16800,"999,5","51,9"
,7R,16700,"1007,5","52,9"
,7R,16600,"1015,1",54
,7R,16500,"1022,5",55
,7R,16400,"1029,6",56
,7R,16300,"1036,4",57
,7R,16200,1043,"58,1"
,7R,16100,"1049,5","59,1"
,7R,16000,"1055,7","60,1"
,7R,15900,"1061,8","61,1"
,7R,15800,"1067,7","62,1"
,7R,15700,"1073,4","63,1"
,7R,15600,1079,"64,1"
,7R,15500,"1084,5","65,2"
,7R,15400,"1089,9","66,2"
,7R,15300,"1095,1","67,2"
,7R,15200,"1100,3","68,3"
,7R,15100,"1105,3","69,3"
,7R,15000,"1110,3","70,4"
,7R,14900,"1115,1","71,5"
,7R,14800,"1119,9","72,6"
,7R,14700,"1124,6","73,7"
,7R,14600,"1129,2","74,8"
,7R,14500,"1133,7",76
,7R,14400,"1138,1","77,1"
,7R,14300,"1142,5","78,3"
,7R,14200,"1146,8","79,5"
,7R,14100,1151,"80,7"
,7R,14000,"1155,2","81,9"
,7R,13900,"1159,3","83,2"
,7R,13800,"1163,3","84,5"
,7R,13700,"1167,3","85,8"
,7R,13600,"1171,2","87,1"
,7R,13500,"1175,1","88,5"
,7R,13400,"1178,9","89,9"
,7R,13300,"1182,6","91,3"
,7R,13200,"1186,3","92,8"
,7R,13100,1190,"94,3"
,7R,13000,"1193,6","95,9"
,7R,12900,"1197,1","97,5"
,7R,12800,"1200,6","99,2"
,7R,12700,"1204,1","100,9"
,7R,12600,"1207,5","102,6"
,7R,12500,"1210,8","104,5"
,7R,12400,"1214,1","106,4"
,7R,12300,"1217,4","108,3"
,7R,12200,"1220,6","110,3"
,7R,12100,"1223,7","112,4"
,7R,12000,"1226,8","114,6"
,7R,11900,"1229,9","116,9"
,7R,11800,"1232,9","119,3"
,7R,11700,"1235,9","121,8"
,7R,11600,"1238,8","124,3"
,7R,11500,"1241,7",127
,7R,11400,"1244,5","129,9"
,7R,11300,"1247,3","132,8"
,7R,11200,"1250,1","135,9"
,7R,11100,"1252,8","139,2"
,7R,11000,"1255,4","142,6"
,7R,10900,1258,"146,2"
,7R,10800,"1260,6","149,9"
,7R,10700,"1263,1","153,8"
,7R,10600,"1265,5",158
,7R,10500,"1267,9","162,3"
