,,,,
,Charge,Range (M),Elevation (MIL),Drift (MIL)
,5G,1000,"44,1","0,8"
,5G,1100,"48,7","0,9"
,5G,1200,"53,4",1
,5G,1300,"58,1","1,1"
,5G,1400,"62,9","1,2"
,5G,1500,"67,7","1,3"
,5G,1600,"72,6","1,4"
,5G,1700,"77,5","1,5"
,5G,1800,"82,4","1,6"
,5G,1900,"87,4","1,6"
,5G,2000,"92,5","1,7"
,5G,2100,"97,5","1,8"
,5G,2200,"102,7","1,9"
,5G,2300,"107,8",2
,5G,2400,113,"2,1"
,5G,2500,"118,3","2,2"
,5G,2600,"123,6","2,4"
,5G,2700,"128,9","2,5"
,5G,2800,"134,3","2,6"
,5G,2900,"139,7","2,7"
,5G,3000,"145,2","2,8"
,5G,3100,"150,7","2,9"
,5G,3200,"156,3",3
,5G,3300,"161,9","3,1"
,5G,3400,"167,5","3,2"
,5G,3500,"173,2","3,4"
,5G,3600,179,"3,5"
,5G,3700,"184,8","3,6"
,5G,3800,"190,7","3,7"
,5G,3900,"196,6","3,9"
,5G,4000,"202,6",4
,5G,4100,"208,6","4,1"
,5G,4200,"214,7","4,3"
,5G,4300,"220,9","4,4"
,5G,4400,"227,1","4,5"
,5G,4500,"233,4","4,7"
,5G,4600,"239,7","4,8"
,5G,4700,"246,1",5
,5G,4800,"252,6","5,1"
,5G,4900,"259,2","5,3"
,5G,5000,"265,8","5,4"
,5G,5100,"272,5","5,6"
,5G,5200,"279,3","5,7"
,5G,5300,"286,2","5,9"
,5G,5400,"293,1","6,1"
,5G,5500,"300,2","6,2"
,5G,5600,"307,4","6,4"
,5G,5700,"314,6","6,6"
,5G,5800,322,"6,8"
,5G,5900,"329,4",7
,5G,6000,337,"7,1"
,5G,6100,"344,7","7,3"
,5G,6200,"352,5","7,5"
,5G,6300,"360,5","7,8"
,5G,6400,"368,6",8
,5G,6500,"376,8","8,2"
,5G,6600,"385,2","8,4"
,5G,6700,"393,8","8,6"
,5G,6800,"402,6","8,9"
,5G,6900,"411,5","9,1"
,5G,7000,"420,7","9,4"
,5G,7100,"430,1","9,6"
,5G,7200,"439,7","9,9"
,5G,7300,"449,6","10,2"
,5G,7400,"459,8","10,5"
,5G,7500,"470,3","10,8"
,5G,7600,"481,2","11,1"
,5G,7700,"492,4","11,5"
,5G,7800,"504,1","11,9"
,5G,7900,"516,3","12,2"
,5G,8000,"529,1","12,7"
,5G,8100,"542,5","13,1"
,5G,8200,"556,7","13,6"
,5G,8300,"571,8","14,1"
,5G,8400,"588,1","14,7"
,5G,8500,"605,9","15,4"
,5G,8600,"625,7","16,1"
,5G,8700,"648,4",17
,5G,8800,"675,7","18,1"
,5G,8900,"713,2","19,8"
,5G,8900,"847,8","27,1"
,5G,8800,"885,1","29,6"
,5G,8700,"912,2","31,7"
,5G,8600,"934,5","33,4"
