velocity_ms,target_range_m,real_elevation_deg,model_elevation_deg,real_drift_deg,model_drift_deg,actual_range_m,elevation_error_deg,range_error_m
453,11200.0,34.77853846,,1.00267615,,,,
453,1200.0,1.810546648,,0.0401070459999999,,,,
453,10800.0,58.315644883999994,,2.6241467239999996,,,,
453,1100.0,1.650118464,,0.0401070459999999,,,,
453,1500.0,2.3147495119999997,,0.051566202,,,,
453,3600.0,6.451504827999999,8.86294096875,0.154698606,0.0,3613.751685173841,2.4114361407500002,13.751685173840997
453,6400.0,13.854119604,,0.332315524,,,,
453,8000.0,69.711775526,,5.07067653,,,,
453,1800.0,2.83614111,,0.0687549359999999,,,,
453,11000.0,33.277389023999994,,0.939650792,,,,
453,9600.0,25.542458724,,0.664631048,,,,
453,3700.0,6.680687947999999,9.176277265625,0.1604281839999999,0.0,3690.5605014537773,2.495589317625001,-9.439498546222694
453,7300.0,16.707449448000002,,0.406800038,,,,
453,2100.0,3.374721442,,0.0802140919999999,,,,
453,7600.0,17.721584754,,0.435447928,,,,
453,10300.0,29.003123835999997,,0.779222608,,,,
453,11000.0,57.055137724,,2.4751776960000003,,,,
453,9800.0,63.3118369,,3.357532708,,,,
453,400.0,0.5729578,,0.011459156,,,,
453,6700.0,73.172440638,,7.47709929,,,,
453,5600.0,11.51645178,22.023065437499998,0.2750197439999999,0.0,5597.983905659737,10.506613657499997,-2.0160943402634075
453,10800.0,31.930938193999996,,0.88808459,,,,
453,8900.0,22.540159852,,0.5729578,,,,
453,2000.0,3.191374946,,0.074484514,,,,
453,9900.0,62.876388972,,3.2830481939999996,,,,
453,11100.0,56.36758836399999,,2.400693182,,,,
453,500.0,0.721926828,,0.0171887339999999,,,,
453,5000.0,9.88352205,16.38301209375,0.2349126979999999,0.0,4985.417745034416,6.499490043750001,-14.58225496558407
453,10000.0,27.450408198,,0.7276564059999999,,,,
453,11500.0,37.505817588,,1.11726771,,,,
453,10100.0,27.954611062,,0.74484514,,,,
453,3900.0,7.144783766,10.11628615625,0.17188734,0.0,3904.3885985060533,2.9715023902500004,4.388598506053313
453,10400.0,60.52153241399999,,2.9106256239999997,,,,
453,9800.0,26.476379938,,0.693278938,,,,
453,9900.0,26.95766449,,0.7104676719999999,,,,
453,2700.0,4.532096198,5.768745037109375,0.108861982,0.0,2743.9255276513636,1.2366488391093755,43.92552765136361
453,4000.0,7.379696464,10.74295875,0.1776169179999999,0.0,4037.9911140847275,3.3632622859999994,37.99111408472754
544,3600.0,4.360208857999999,6.042914296875,0.120321138,0.0,3599.609428834259,1.6827054388750007,-0.3905711657412212
544,12900.0,30.53865074,,0.951109948,,,,
544,5700.0,8.032868356,14.5029943125,0.2234535419999999,0.0,5671.856899073516,6.4701259565,-28.143100926484294
544,3500.0,4.21123983,5.8862461484374995,0.11459156,0.0,3539.6557175150856,1.6750063184374993,39.6557175150856
544,14400.0,49.154049662,,1.970974832,,,,
544,8600.0,14.95419858,,0.423988772,,,,
544,9600.0,17.87628336,,0.509932442,,,,
544,10100.0,19.45191731,,0.561498644,,,,
544,3300.0,3.919031352,,0.108861982,,,,
544,11900.0,25.98363623,,0.779222608,,,,
544,12600.0,61.260647976,,3.328884818,,,,
544,400.0,0.395340882,,0.011459156,,,,
544,12500.0,61.65598885799999,,3.391910176,,,,
544,11500.0,65.14530186,,4.09664827,,,,
544,1600.0,1.7016846659999998,,0.045836624,,,,
544,13100.0,59.094867492000006,,2.9965692939999995,,,,
544,11900.0,63.838958076,,3.804439792,,,,
544,6400.0,9.505369902,20.143047656249998,0.263560588,0.0,6408.667281352067,10.637677754249998,8.66728135206722
544,12400.0,28.137957558,,0.8594366999999999,,,,
544,300.0,0.297938056,,0.005729578,,,,
544,5600.0,7.832333125999999,13.876321718749999,0.217723964,0.0,5566.259735182895,6.04398859275,-33.74026481710462
544,13400.0,33.306036913999996,,1.065701508,,,,
544,10700.0,21.468728766,,0.624524002,,,,
544,10100.0,69.058603634,,5.345696274,,,,
544,1300.0,1.357909986,,0.0343774679999999,,,,
544,10400.0,68.290840182,,5.036299062,,,,
544,11700.0,64.503589124,,3.947679242,,,,
544,9700.0,70.02117273799999,,5.809792092,,,,
544,5900.0,8.439668394,15.7563395,0.2349126979999999,0.0,5867.0781204617815,7.316671105999999,-32.92187953821849
544,8600.0,72.381758874,,7.608879584,,,,
544,8900.0,15.802176124,,0.4469070839999999,,,,
544,8100.0,13.602018172,,0.383881726,,,,
544,13400.0,57.593718056,,2.8017636419999996,,,,
247,3600.0,69.02995574399999,,4.245617297999999,,,,
247,3700.0,20.878582232,,0.441177506,,,,
247,5300.0,42.862973018,,1.1860226459999998,,,,
247,3900.0,66.81260905799999,,3.5981749839999995,,,,
247,5000.0,34.371738422,,0.8365183879999999,,,,
247,2400.0,12.330051856,17.0096846875,0.2463718539999999,0.0,2400.832240727352,4.6796328314999975,0.8322407273522003
247,4400.0,26.90036871,,0.60160569,,,,
247,4000.0,66.016197716,,3.414828488,,,,
247,4200.0,25.003878391999997,,0.5500394879999999,,,,
247,4300.0,25.932070028,,0.5729578,,,,
286,5700.0,26.78577715,,0.5901465340000001,,,,
286,4100.0,16.87360721,,0.34377468,,,,
286,3600.0,14.398429514,25.783101,0.2864789,0.0,3621.57154201013,11.384671485999998,21.571542010130088
286,4300.0,70.800395346,,4.8357638320000005,,,,
286,5300.0,23.886610681999997,,0.5156620199999999,,,,
286,6600.0,52.689199288,,1.7589804459999998,,,,
286,400.0,1.409476188,,0.02864789,,,,
